Comment,Category,Value,Sentiment
Nice words but there are urgent questions that were not asked during the meeting there is a time space for sectoral sectoral dialogue especially those related to the disposers and engineers the unions are able to confront the government and not to comply with any new degree barter in exchange for passing the strike law and the retirement system,politique,0.5592921,Neutral
To build a society to which everyone aspires there must,politique,0.62061375,Neutral
But the retirees did not mention whether they have no right to increase and they are the ones who established the first nucleus of the Moroccan administration and now they grew up and exposed to the large number of diseases and the expenses of life doubled times and times,politique,0.74190027,Negative
It would be preferable if the doors were opened to the warring Moroccans to participate in the government to improve performance and speed of achievement and to teach Moroccan ministers how to deal and respect public money,politique,0.6315637,Neutral
Experts researchers and sociologists say that the most dangerous colonialism is the French Francophoric colonialism because it focuses on changing the mind and thinking,politique,0.7945808,Negative
This is the juice of Diyal with the correctness of Mr Hilal from him with the goodness of the happy country,politique,0.79515433,Positive
Indeed this is its condition and this is its mineral mineral,politique,0.87463844,Neutral
Thank you to the Moroccan Ambassador Hilal Al -Sahel in the appropriate position to defend the land of Morocco from the fascist Hawari Al -Hawari thesis towards MoroccoHer hatred forever is for the people of the people and a grain of sand from the desert of Morocco may God bless him,politique,0.4099834,Neutral
The largest enemy of Morocco and the Moroccan people its security stability and territorial integrity are Algeria and the Moroccans the king government and people taking care and caution from the bad neighbors of the loss,politique,0.78603363,Negative
Since almost all states and human rights organizations whether governmental or civil are aware of what is loved by the concerts against peoples nations and countries and that their only agenda is to sow discrimination and confusion and create strife betweenGlobal bodies and organizations are a permanent question that haunts my mind Morocco remains only to obtain international support international approval declaring war on the source of evil and eliminating this entity that threatens peace and international security small and large with His Majesty King Mohammed VI and our valiant armed forces to confrontFor these diabolical creatures,politique,0.80987066,Negative
Ambassador Hilal bombed Algeria with the stone whenever it goes out of the ranks in an embodiment of the idea of the president Tabnnnnnah the right hand of cooperation and building the Maghreb Union but we slap with the left hand whenever the necessity is necessary for that,politique,0.49657607,Negative
Greetings and appreciation sir Omar and God is the Great to my points the points on the letters Bravo,politique,0.95126957,Positive
Do not break the right man in the right place,politique,0.5482724,Neutral
A greeting to Ambassador Omar Hilal but it is better to confront the Algerian regime with a vasom attack and pre -emptive strikes instead of sufficiency in defense and reaction because this is what the representative of Algeria is looking for taking the initiative and revealing the nakedness of the regime and besieging it makes it leave the military delegate in a committee that attacks and we respond this is something that makes it a heroIn the eyes of the goal group even if it is not given any that it is possible to raise the shirt of Nahdet Berkane which caused a state of maximum alert in the Algerian intelligence departments and the presidency,politique,0.69049263,Neutral
Mr Omar Hilal the appropriate diplomat in the appropriate place the Cairo the enemies of the territorial integrity,politique,0.57405275,Neutral
Omar Hilal a diplomat his words are accurately and at the core and at the appropriate time I wish him success in the tasks of confronting the military and its servants,politique,0.8737613,Positive
Algeria is cancer and it must be eradicated from the roots,politique,0.9314853,Negative
We have not seen the same as Ambassador Omar Hilal by a diplomat giving you and his responses about our central case,politique,0.6493093,Neutral
Thank you Dr Hilal really Algeria is more dangerous than Zionism over Morocco,politique,0.572655,Negative
Was the wolf and the seven in the stature to the wolf seven passengers they overthrew meaning Mr Hilal a seasoned diplomat who has a great experience His Majesty the king depends on him Mr Hilal if he pronounces a swab or the Diplomat Al -Hakawi he only involves topics that are not in their place and therefore you know first then he is stubborn and does not envy my greetings to Mr Hilal AssadMoroccan and Dima Maghrib,politique,0.5971318,Neutral
Algeria started from the starting line by creating an entity over its territory and did not know reaching the finish line and did not know that Morocco made it lose the compass in a maze that she did not know to get outNot concerned and every time it provokes the issue of the desert it must be reminded that it is not concerned and does not increase controversy in those who dwarf his thought and mind and whoever enters into what does not mean he hears what he does not satisfy,politique,0.62608427,Negative
Unfortunately the running cylinder in Algeria despite its rift is frequently used This miserable server is still trying to ride again despite the fact that it fell hundreds of times from above its donkey but the Moroccans are looking for all those who were abused on our territorial integrity and the Sahara lived Moroccan despite the plot of the two of the people,politique,0.92240274,Negative
Morocco despite the progress in digitization is backward in terms of transportation through because all foreigners who visit Morocco find problems in traditional transport with owners without forgetting that Morocco is about to achieve global benefits that will not succeed if it does not organize the work sector with international companies in the field of transport through applications to pleaseTourists and visitors coming from different countries of the world,politique,0.51115865,Neutral
Indeed the dynamism of digitization is very high in Morocco but the dynamics of its ignorance and the difficulty of dealing with it by most Moroccans are also high,politique,0.51886636,Neutral
And when will be digitized the signature and authenticity correction offices and the copies match daily the queues of citizens are seized to accomplish some in front of employees who suffer from silence,politique,0.61772454,Neutral
A simple example of seeing the reality as it is and not as it was held in a very far from the place of my birth when I need an increase in the absentee of my work for at least two days in order to obtain it It may be saidI got it days after the waiting the time may have passed as I needed it and you may not reach the answer permanently next to us,politique,0.60153294,Neutral
The dynamism of digitization is high and the majority of digital transactions remains only a simple effort with regard,politique,0.5812208,Positive
Digital in Morocco is very very weak,politique,0.9382695,Negative
My context license ended I have completed all the procedures to change it but I did not reach it almost any day of any digitization that you are talking about His Excellency the Minister,politique,0.5141227,Negative
Oh God the blood of splendor victory empowerment health safety joys delights success and continuous superiority on our acronym Lord of the worlds and have a guardian and the preserved and the appointed wherever he comes and the reaches of all the standards in the service of Morocco in various fields clearly and ambitionLimited without boredom or tiredness and self -denial and from behind him the competent Moroccan competencies that make the higher interests of Morocco and Moroccans above every consideration constantly wherever they are present in the world,politique,0.6474253,Positive
Water for prosperity but some do not pay attention to this vital issue as long as the price that the citizen pays is less than his cost and therefore it is the duty of the state to reconsider the pricing to encourage citizens to use good water,politique,0.6310692,Neutral
Mr Nizar Baraka must fulfill his promise which cuts himself to fulfill the Moroccan people especially the poor and middle classes regarding the reduction and roofing of fuel prices and to confront the greed of the lobby which is gathered for fuel companies that practice and monopolize the fuel market,politique,0.63185483,Neutral
Artificial administrative entities that lack the most important element of their existence which is popular that is does not respond to the criteria for the existence of parties and no matter how they try to renew their skin they remain because they have no extension and popular rule only that the system is blessed with local and national positions within the framework of the democracy and take care of them in order to remain in existence consisting of people who have nothing to do with each otherDo not bring them together the programs the political line or the statute,politique,0.69489694,Negative
There is no smooth drains,politique,0.55916566,Neutral
An explicit question directed at this party especially its ministers in the two governments is the increase in pensions of retirees who have been intended for years by governments and unions is a farce and disgrace to the state the government and the unions that have become drum to this government and mislead the Moroccan people especially the poor poor and medium classes where are the government's promises and unions especiallyThe statements of the Minister of Employment who said during the negotiations with the unions and in the House of Advisors that he is aware of the miserable situation of retirees and that this situation will improve during the dialogue with the unions but unfortunately they all retreated from their promises without any clarification of the state the government and the unions who consider retirees who are not productive people and their protests and reactions will not harm the stateThe government and the unions from a wise side interfere with the fairness of this oppressed class that suffers from the woes in the end of its life after it declared a flower of its life in the service of this great for the retirees held on His Majesty King Mohammed VI may God assist him by giving his high instructions to the parties concerned to lift this injustice from this layer saturated with the sincere national spirit,politique,0.5029667,Neutral
I see in the photo that minister who plays the role of the personal guard of Mohamed Ramadan in the book fair God suffices us and yes the agent,politique,0.57001436,Positive
What is built on falsehood is void of the parties whose mission is personal interests and theft,politique,0.88492525,Negative
He exceeded it with a base of how many disasters and bumps we have left by leaving them yes as the Moroccan proverb says let you get the camel where he was more than his vitules Gadi Polly Al -Taye,politique,0.693415,Neutral
The simplest requirement is to return to the legal watch Greenwich unfortunately they failed,politique,0.5860244,Negative
