Id,roberta_neg,roberta_neu,roberta_pos,translated_comments
0,0.0949351,0.4498846,0.45518032,"South Africa knows very well that Morocco has become a strong competitor to it in the brown continent, so it is an enlightening to create a kind of confusion, may God bless it."
1,0.8424477,0.14681678,0.010735533,"A year ago, more than a billion dollars evaporated on a losing case. Algeria has paid a high -precious price and a people."
2,0.013020312,0.17119612,0.81578356,"Glory be to God, the states of South Africa and the bad neighbor to Morocco, they are great and great assistance, and the embrace of their revolution is two states that were described by ingratitude and the known denial, but hehe is this faithful country, Lord, may God protect Morocco, king and people"
3,0.22617754,0.7486476,0.025174886,"South Africa plays on the two ropes, pending the final defeat of the raptula and the emission of a new ruler regime in the eastern neighbor, at the time, will direct its compass to link decreased relations with Morocco despite its nose, and it will remain isolated in the far south of Africa"
4,0.9700515,0.028048811,0.0018995665,"From the Corrupt African Congress Party control in South Africa, this country is in a continuous decline and deterioration"
5,0.09022632,0.5869937,0.32277998,"In fact, when South Africa was under the rule of the Aterfit was better than what he had, at least it was a reasonable diplomacy"
6,0.57541907,0.39901146,0.025569435,"Because these countries have comprehensive systems, not democracy"
7,0.2256713,0.74532855,0.029000157,"For information, Colombia has no camel and no camel has cut off its relationship with the entity last week"
8,0.96213526,0.036024068,0.0018407619,"There is no peace, no words with the thugs of innocent children and women"
9,0.8511429,0.14222988,0.0066272723,"Thus, future generations will read it in history books, the agreement of betraying the Islamic nation. History is ruthless and what is built on false"
10,0.6792488,0.31127334,0.00947786,The Moroccan people are not concerned with these agreements
11,0.2549028,0.69840205,0.04669518,"Let the politicians do what they like, but the people have another opinion"
12,0.09159879,0.7479167,0.16048455,"We stand a king and a people with our people in the Holy Land Gaza is the issue of the first Moroccans. As for the Moroccan Sahara, we have resolved it by force a year and we remain in it by force, there is no room for bargaining"
13,0.033590935,0.6686947,0.2977144,"A strong speech aimed at opening diplomatic communication channels as an alternative to the military power, which is in the interest of both parties and the Commander of the Faithful remains the source of wisdom in the darkest positions and circumstances"
14,0.016848002,0.33431467,0.6488373,"Your religion is victorious, sir Mohammed VI, history will witness your humanity"
15,0.5065716,0.4623658,0.031062597,"Morocco is king and people with fair issues. Many definitions were held in which the Zionist flag was burned, and there was no prevention, unlike in many states and medication, trading in the issue for political and personal goals, and Morocco sent several humanitarian and medical aid and do not possess except for Morocco to be hostile to more than one western society as the populists and religion want to dream of seditionAnd the division of Morocco to serve other agendas"
16,0.06607995,0.56765217,0.3662679,"Dialogue and tolerance between religions and cultures must be encouraged in the face of hate speech, and every person on the face of the earth has the right to live in security, peace, reassurance, prosperity, and there is no alternative to the two -state solution, a Palestinian state with East Jerusalem as its capital, and an Israeli state cooperating and living in peace, God willing"
17,0.7288945,0.2585098,0.012595687,"The wisdom is called in dealing with major complex issues and the freshness of an insightful strategy to confront Esrail is to confront America, Britain and Europe as a whole. At the time of these countries support Morocco against its real enemies, everyone knows them and the last demonic planning of the triple conglomerate that provides a bad neighbor to inflict the greatest damage, isolating and dismissing the country"
18,0.06265348,0.8000419,0.13730462,I hope that this speech will receive a listening call to prayer from the Zionist entity and to make it back away from its procedures in moving forward with the entry of Rafah and what this means from extermination
19,0.6258582,0.34475583,0.029385963,"Throughout history, Morocco supports the Palestinian issue, but the army of Morocco fought Israil and martyred from them for half a century and still supports the issue according to the conditions and it cannot be more Palestinian than Palestinians Morocco also has custody of the east.The presence of the populists, the hateful, the failed, and those with empty Zangoha slogans understand this"
20,0.023957014,0.6199963,0.3560467,"Morocco's position is clear, logical, and the king of the country, expresses it on all international occasions and forums, and the position of Morocco embodies moral and political integrity without exploitation or auctions and the issue of Palestine.In the area"
21,0.0020640926,0.06681706,0.93111885,A strong speech. Greetings. Those who understand it
22,0.027098948,0.48443037,0.48847064,"Oh God, the blood of splendor, victory, empowerment, health, safety, joys, delights, success and continuous superiority on our accent, Lord of the worlds, and have a guardian and the preserved and the appointed wherever he comes and the reaches of everyone traveled the standards in the service of African peoples clearly and unlimited ambition withoutBoredom or tire and self -denial"
23,0.24532992,0.7040442,0.050625894,"There is no room for comparison between what His Majesty the King of the words of weighted and the human value and solidarity towards the countries of Africa and the heresies of Majid Allah, who is the hunger and the one who gave him who gave him neither about God nor in God, is adjacent to this."
24,0.004507174,0.22986045,0.76563233,"Listen, who is a room, and who came out of the class, you give it, it is the speech of the descendant of the honorable Doha, the great king, Muhammad VI, the son of Hassan II, the greatest king known to the twentieth century, God blesses the age of my lord"
25,0.0032499172,0.11452468,0.88222533,"God bless the Commander of the Faithful, who is also known for him in such positions"
26,0.05130773,0.8721156,0.076576665,The Qur’an is the word of God and the constitution of the Islamic nation.
27,0.19990255,0.7149301,0.08516737,The disbelievers believe God Almighty
28,0.039833408,0.6997431,0.26042345,"Our place, may God prolong his life from the strong protectors of the Holy Qur’an and the Islamic religion, confronts all those who have hesed himself, prejudice them or religious sanctities, may God accept"
29,0.0012320366,0.02480646,0.97396153,"May God bless you, glory and victory, our beloved, God, the homeland, the king"
30,0.092563055,0.42231438,0.4851226,"This is the true ignorance of King Mohammed VI, may God bless him and recover him, O God, see the truth, and he will be blessed with his followers, and the falsehood of falsehood is invalid, and he will be blessed."
31,0.0034611807,0.1775918,0.818947,"Long live the king, may God protect you, may God protect you and take care of you, Hanan and Yamnan."
32,0.65564984,0.33766738,0.006682766,"I ask from this platform all Muslims rulers and peoples to interrupt all countries that encourage the desecration of the Holy Quran, especially the Sweden State"
33,0.5574908,0.39678806,0.045721088,A person who is greater than everything has killed the whole earth without a person is not equal to anything
34,0.3611209,0.6143263,0.024552708,"Indeed, the whole international community is responsible for events in Gaza"
35,0.0017211098,0.0544065,0.94387233,"Our king is a wise king, may God extend our life"
36,0.3562473,0.613887,0.02986568,This is the position and feeling of Moroccans instead of a substitute yesterday and the hearts of the heart of Palestine
37,0.4997555,0.4519427,0.04830185,"Actually, His Majesty the King, this barbarism, which the people of Gaza are exposed to a stigma on the forehead of humanity, which the East sings, erases it except the declaration of the Palestinian state and its capital, Al -Quds Al -Sharif, in honor of the good blood that asked on the land of Gaza"
38,0.03600158,0.35099804,0.61300033,"Our king, Al -Hammam, Muhammad VI, lived by God, and sponsored by the pride of the Arabs and Muslims, and he has all the courage that we know about it from a young age, and he is the only leader in the world who condemns the Zionist crimes, defying all the countries that are attached to the printed capacity and countries supporting the Zionist entity and we say it with all the pride of God the homeland the king"
39,0.3198147,0.63300544,0.047179844,"The Islamic and Arab nation must unite the Israeli aggression on the beloved Palestine and its defenseless people and cut the relationship with the enemies of religion, Islam and Muslims so that the right is clear to them and to limit the borders of some countries Turkey, South Africa and Brazil. Perhaps God will happen after that"
40,0.012990117,0.75532454,0.23168531,"It is considered the king and the government of the Holy Land, its people, and its future, its future."
41,0.32568735,0.64097416,0.03333847,"The actions of the criminals there are aimed at provoking the Arab countries to respond so that the enemy finds an argument to strike the Arab countries with secret deadly weapons that try for the first time in Muslims if the Arabs had a power of weapons and make their weapons, so patience has limits to us and our enemies we are living the signs of the hour at the time of the exit of the flags that support the religion of truth the religion of humanity and mercyAnd the Muhammadiyah message that God has sent mercy to the worlds, please publish"
42,0.8374465,0.15836217,0.0041913693,"The Moroccan government should summon the Moroccan ambassador and cut relations with a Zionist entity, a war criminal today before tomorrow"
43,0.7473001,0.23432662,0.018373247,"Peace be upon you, the international community is silent, you may wait until the enemy ends its mission in annihilating the entire people of Gaza."
44,0.0047885086,0.15751457,0.8376969,"Oh God, grant victory to this King Mohammed VI, may God protect him, he said the launch of a true peaceful process that leads to the solution of the two states that are internationally agreed upon. Thank you for His Majesty, may God protect him, and thank you all"
45,0.8974653,0.097288854,0.0052458057,"We condemn and print this matter. Normalization with this enemy is not right in the back of the brotherly Palestinian people, and it is not in its favor, whatever we provided, and whatever we denounce and denounce our initiatives."
46,0.017857436,0.3815042,0.6006384,"A word of truth from a brave king of a pious, no fear in God, a blame, and he is the son of the beloved supervisors, who is acceptable to the nation."
47,0.049464542,0.89799994,0.052535556,"Perhaps Rayb has occurred that it was the Royal Armed Forces who summoned Libya, or it was the one who agreed at least, as long as the maneuvers are on Moroccan land"
48,0.7179542,0.26705328,0.014992498,"A painful blow to the captains, which have become the mature of Morocco, terrifying them wherever it is sweet and they travel"
49,0.06492328,0.8320611,0.10301565,"The maneuvers of Assad al -Afriki are an opportunity for the Libyan army to acquire combat skills, identify the types of effective effective weapons, and change his failed military faith from the era of the late Gaddafi"
50,0.29013494,0.6895105,0.020354569,"A message to Algeria, stay away from Libya, as it is with Morocco"
51,0.3778218,0.6037781,0.018400008,"The United States of America and its intelligence senses the possibility of Libya to fall into the hands of Russia, such as Niger, Chad, Central Africa, and the rest of the African coast countries, especially after the expulsion of France and its military forces from this region."
52,0.27892295,0.70627314,0.014803852,Even the decision of those who participate in these American maneuvers in Morocco in the hands of AmirkamurIts forces there are in addition to the other slap that its last forces received in Ukraine
53,0.029367868,0.94088066,0.029751435,"These are the maneuvers, Homa Lee Kittu Al -Karsh, on a charter"
54,0.42017832,0.5474945,0.032327272,"The human body is considered a multiple vavors factory that imposes a certain heat for burning for the energy industry, which is hot through the killing when it enters a cold atmosphere, it is extinguishing and freezing the burning materials from the slander and incendiary substances that are hydrogen and when re -works of the ovens, it must be removed unless it is burned, which is a process that the white quees or antibiotics do sohe"
